Region,Resource Name,EndCap,NewCap,Policy,folder,case,iteration,weeks
CA_N,NGCCS,9476.261999999999,9476.261999999999,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,ZCF,4313.641,0.067,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,battery,11878.773000000001,11878.773000000001,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,hydrogen_storage,0.004,0.004,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,offshore_wind,0.006,0.006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,onshore_wind,1327.6159999999998,0.016,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_N,solar,33182.69900000001,30395.599000000006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,NGCCS,10164.495,10164.495,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,ZCF,6202.366000000001,0.07100000000000001,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,battery,18396.843999999997,18396.843999999997,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,hydrogen_storage,0.004,0.004,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,Base,max,Base,january_test
CA_S,onshore_wind,8467.142999999996,3731.5430000000006,p2_2045_high_mid_REF_high,Base,max,Base,january_test
