region,Resource,cluster,R_ID,zone,voltage_level,CapRes,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,RPS,CES,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,regional_cost_multiplier,lcoe,ids,waccnomtech,cap_recovery_years,Hydro_level,Existing_Charge_Cap_MW,unit_id_pudl,CF,plant_id_eia,fixed_o_m_mw_std,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,resource_type
CA_N,biomass,1,1,1,trans,0.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,33.644,52,96.2,-1,0.65,0,0,0,0,0,0,122976,0,0,0,3.52,0,0,0,0,10.07,1.229,1.778,None,0.368,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['10748_U1C06', '10748_U3J16', '10748_U4J16', '54517_GEN3', '56080_EG4', '56080_EG5', '56080_EG6', '56080_EG7', '56428_Unit1', '56428_Unit2', '56428_Unit3', '56895_1', '56895_2', '56895_3', '56895_4', '56895_5', '56895_6', '56897_1', '56897_2', '57100_EN01', '57101_1', '57133_359', '57133_361', '57696_1', '57771_1', '57876_UNT1', '57988_GEN 5', '57988_GEN 6', '57988_GEN4', '58320_362', '58379_W3998', '58397_ENG1', '58435_ENG1', '58435_ENG2', '58436_ENG1', '58436_ENG2', '58437_ENG1', '58437_ENG2', '58525_COGEN', '58978_CVAP', '59299_RED1', '59299_RED2', '59557_AC2FC', '59952_1', '59952_2', '59952_3', '59952_4', '59952_5', '60220_ZWED1', '60220_ZWED2', '60249_CGN', '60918_00003']",0,"[10748, 10748, 10748, 54517, 56080, 56080, 56080, 56080, 56428, 56428, 56428, 56895, 56895, 56895, 56895, 56895, 56895, 56897, 56897, 57100, 57101, 57133, 57133, 57696, 57771, 57876, 57988, 57988, 57988, 58320, 58379, 58397, 58435, 58435, 58436, 58436, 58437, 58437, 58525, 58978, 59299, 59299, 59557, 59952, 59952, 59952, 59952, 59952, 60220, 60220, 60249, 60918]",0,0,0,other_renewables
CA_N,biomass,2,2,1,trans,0.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,25.244,4,72.2,-1,6.31,0,0,0,0,0,0,122976,0,0,0,8.48,0,0,0,0,24.23,5.368,7.762,None,0.335,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['50112_GEN3', 1.0, 1.0, 1.0]",0,"[50112, 56706, 56707, 59658]",0,0,0,other_renewables
CA_N,conventional_hydroelectric,1,3,1,trans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7274.007,117,7274.007,-1,62.17,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0.009,None,0.06,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,"['217_1', '218_2', '218_3', '219_1', '220_H1', '220_H2', '221_1', '222_1', '222_2', '222_3', '223_4', '223_5', '231_1', '231_2', '235_1', '235_2', '235_3', '235_4', '236_5', '239_1', '239_2', '239_3', '240_H1', '240_H2', '249_1', '249_2', '254_H1', '265_H1', '265_H2', '266_H1', '266_H2', '266_H3', '267_1', '267_2', '268_H1', '268_H2', '268_H3', '268_H4', '269_H1', '269_H2', '270_H1', '270_H2', '272_1', '272_2', '275_H1', '275_H2', '279_1', '279_2', '285_HC1', '287_H1', '287_H2', '380_1', '380_2', '381_1', '381_2', '382_1', '382_2', '382_3', '409_1', '412_2P', '415_H1', '417_1', '419_1', '425_1', '425_2', '427_1', '430_H1', '430_H2', '431_H1', '431_H2', '432_H1', '435_H1', '435_H2', '435_H3', '435_H4', '437_1', '437_3', '437_5', '439_1', '439_2', '439_3', '439_4', '441_1', '441_2', '441_3', '442_1', '442_2', '443_1', '443_2', '443_3', '445_1', '445_2', '445_3', '445_4', '445_5', '445_S1', '445_S2', '450_1', '450_2', '451_1', '451_2', '454_1', '454_2', '455_1', '682_1', '6158_1', '6158_2', '6612_1', '7907_1', '7907_2', '7907_3', '50393_FR1', '50393_M1', '50393_RO1', '50393_RO2', '54555_GEN1', '54555_GEN2']",0,"[217, 218, 218, 219, 220, 220, 221, 222, 222, 222, 223, 223, 231, 231, 235, 235, 235, 235, 236, 239, 239, 239, 240, 240, 249, 249, 254, 265, 265, 266, 266, 266, 267, 267, 268, 268, 268, 268, 269, 269, 270, 270, 272, 272, 275, 275, 279, 279, 285, 287, 287, 380, 380, 381, 381, 382, 382, 382, 409, 412, 415, 417, 419, 425, 425, 427, 430, 430, 431, 431, 432, 435, 435, 435, 435, 437, 437, 437, 439, 439, 439, 439, 441, 441, 441, 442, 442, 443, 443, 443, 445, 445, 445, 445, 445, 445, 445, 450, 450, 451, 451, 454, 454, 455, 682, 6158, 6158, 6612, 7907, 7907, 7907, 50393, 50393, 50393, 50393, 54555, 54555]",0,0,0,hydro
CA_N,geothermal,1,4,1,trans,0.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,499.001,17,683.4,-1,29.35,0,0,0,0,0,0,198040,0,0,0,0,0,0,0,0,9.12,0,0,None,0.419,0,1,1,1.58,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['286_U11', '286_U12', '286_U13', '286_U14', '286_U16', '286_U17', '286_U18', '286_U20', '286_U5', '286_U6', '286_U7', '286_U8', '510_1', '7368_1', '7368_2', '50964_IND', '50964_SYN']",0,"[286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 286, 510, 7368, 7368, 50964, 50964]",0,0,0,other_renewables
CA_N,geothermal,2,5,1,trans,0.9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,143.844,6,196.998,-1,23.97,0,0,0,0,0,0,198040,0,0,0,0,0,0,0,0,9.12,0,0,None,0.284,0,1,1,1.58,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['7369_3', '7369_4', '50066_UNT1', '50066_UNT2', '52158_GEN1', '52158_GEN2']",0,"[7369, 7369, 50066, 50066, 52158, 52158]",0,0,0,other_renewables
CA_N,hydroelectric_pumped_storage,1,6,1,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1791,20,1791,-1,89.55,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,None,0.266,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['104_1', '437_2', '437_4', '437_6', '446_1', '446_2', '446_3', '446_4', '446_5', '446_6', '448_1', '448_2', '448_3', '448_4', '448_5', '448_6', '448_7', '448_8', '6100_2', '6100_3']",0,"[104, 437, 437, 437, 446, 446, 446, 446, 446, 446, 448, 448, 448, 448, 448, 448, 448, 448, 6100, 6100]",0,0,0,pumped_hydro
CA_N,natural_gas_fired_combined_cycle,1,7,1,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4312.995,15,4312.995,0,287.53,0,0,0,0,0,0,11120,0,0,0,3.68,0,0,87,2,7.48,1.266,0.766,ZCF,0.492,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, '56298_0001', '56298_0002', '56298_0003', 1.0, 1.0, 1.0, 2.0, 1.0]",0,"[7307, 55393, 55748, 55933, 55970, 56026, 56078, 56298, 56298, 56298, 56467, 56476, 56532, 57564, 57978]",3098.483,0,0,naturalgas_cc
CA_N,natural_gas_fired_combustion_turbine,1,8,1,trans,0.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1915.601,23,1915.601,0,83.29,0,0,0,0,0,0,10133,0,0,0,4.41,0,0,113,3.5,10.84,1.144,1.384,ZCF,0.527,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['7315_2', '7315_3', '7315_4', '50064_003', '56135_1', '56135_2', '56239_GT-1', '56239_GT-2', '56639_1', '56639_2', '56803_1', '56803_2', '56803_3', '56803_4', '57267_1', '57267_2', '57267_3', '57267_4', '57483_CTG1', '57483_CTG2', '57483_CTG3', '57483_CTG4', '61027_PESCT']",0,"[7315, 7315, 7315, 50064, 56135, 56135, 56239, 56239, 56639, 56639, 56803, 56803, 56803, 56803, 57267, 57267, 57267, 57267, 57483, 57483, 57483, 57483, 61027]",1409.697,0,0,naturalgas_ct
CA_N,onshore_wind_turbine,1,9,1,trans,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1327.6,4,93.4,0,23.35,0,0,0,0,0,0,43205,0,0,0,0,0,0,0,0,9.12,0.092,0.053,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['60049_GE', '61067_WTG1', '62654_WTG1', '62654_WTG2']",0,"[60049, 61067, 62654, 62654]",0,0,0,onshore_wind
CA_N,small_hydroelectric,1,10,1,trans,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,238.656,132,723.624,-1,1.81,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0,None,0.086,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['34_1P', '161_1', '161_2', '161_3', '162_1', '162_2', '180_1', '214_1', '215_1', '225_1', '227_1', '232_1', '233_1', '237_1', '238_1', '238_2', '241_1', '242_2', '243_1', '244_1', '248_1', '255_1', '255_2', '258_1', '261_1', '262_1', '264_1', '274_1', '274_2', '274_3', '276_1', '277_3', '280_1', '281_1', '282_1', '284_1', '290_1', '291_1', '292_1', '292_2', '293_1', '293_2', '293_3', '293_4', '376_1', '376_2', '376_3', '410_1', '413_3P', '414_1', '416_1', '416_2', '416_3', '418_1', '424_1', '426_1', '428_1', '433_1', '440_1', '440_2', '444_1', '444_2', '489_1', '531_1', '534_1', '537_1', '537_2', '537_3', '626_1', '632_1', '714_1', '751_1', '776_1', '839_7P', '846_1', '846_2', '846_3', '7066_1', '7066_2', '7129_TD1', '7151_1', '7151_2', '7189_1', '7229_1', '7338_NA1', '7489_G1', '7489_G2', '7507_1', '7646_1', '7646_2', '7646_3', '10128_GEN1', '10128_GEN2', '10253_LGEN', '10253_UGEN', '10282_BCHY', '10458_GEN1', '10706_GEN1', '10707_GEN1', '10708_GEN1', '10709_GEN1', '10880_GEN1', '10881_GEN1', '10882_GEN1', '50037_UNT1', '50037_UNT2', '50129_1641', '50129_1642', '50129_8332', '50156_GEN1', '50180_GEN1', '50218_U1', '50219_U1', '50223_1296', '50350_GEN1', '50352_1', '50352_2', '50400_GEN1', '50546_GEN1', '50755_GEN1', '50755_GEN2', '50892_GEN1', '50892_GEN2', '54261_3385', '54308_1', '54554_GEN1', '54554_GEN2', '54554_GEN3', '54654_KEK1', '55009_GEN1', '59428_GENE1', '59428_GENE2']",0,"[34, 161, 161, 161, 162, 162, 180, 214, 215, 225, 227, 232, 233, 237, 238, 238, 241, 242, 243, 244, 248, 255, 255, 258, 261, 262, 264, 274, 274, 274, 276, 277, 280, 281, 282, 284, 290, 291, 292, 292, 293, 293, 293, 293, 376, 376, 376, 410, 413, 414, 416, 416, 416, 418, 424, 426, 428, 433, 440, 440, 444, 444, 489, 531, 534, 537, 537, 537, 626, 632, 714, 751, 776, 839, 846, 846, 846, 7066, 7066, 7129, 7151, 7151, 7189, 7229, 7338, 7489, 7489, 7507, 7646, 7646, 7646, 10128, 10128, 10253, 10253, 10282, 10458, 10706, 10707, 10708, 10709, 10880, 10881, 10882, 50037, 50037, 50129, 50129, 50129, 50156, 50180, 50218, 50219, 50223, 50350, 50352, 50352, 50400, 50546, 50755, 50755, 50892, 50892, 54261, 54308, 54554, 54554, 54554, 54654, 55009, 59428, 59428]",0,0,0,other_renewables
