Region description,Network_zones,DistrZones,CES,RPS,CO_2_Max_Mtons,CO_2_Max_ton_MWh,CO_2_Import_ton_MWh,CO_2_Export_ton_MWh,Network_lines,z1,z2,z3,z4,z5,z6,Line_Max_Flow_MW,Line_Min_Flow_MW,Transmission Path Name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MW_yr
CA_N,z1,0.0,,,0.0,-1.0,0.0,0.0,1,1,-1,0,0,0,0,3675.0,-3000.0,CA_N_to_CA_S,336.6139,0.03366139449135602,3675.0,91096
CA_S,z2,0.0,,,0.0,-1.0,0.0,0.0,2,1,0,-1,0,0,0,100.0,-100.0,CA_N_to_WECC_N,490.2731,0.049027310241588955,100.0,92267
WECC_N,z3,0.0,,,0.0,-1.0,0.0,0.0,3,1,0,0,0,-1,0,3675.0,-4200.0,CA_N_to_WECC_PNW,463.8916,0.04638916296795312,3675.0,87302
WECC_NMAZ,z4,0.0,,,0.0,-1.0,0.0,0.0,4,0,1,-1,0,0,0,1400.0,-1920.0,CA_S_to_WECC_N,555.9141,0.055591405478803216,1400.0,104620
WECC_PNW,z5,0.0,,,0.0,-1.0,0.0,0.0,5,0,1,0,-1,0,0,10464.0,-8794.0,CA_S_to_WECC_NMAZ,446.7286,0.04467286410625659,10464.0,84072
WECC_WYCO,z6,0.0,,,0.0,-1.0,0.0,0.0,6,0,1,0,0,-1,0,2858.0,-2600.0,CA_S_to_WECC_PNW,727.9554,0.07279553976915536,2858.0,136998
,,,,,,,,,7,0,0,1,-1,0,0,740.0,-800.0,WECC_N_to_WECC_NMAZ,598.8333,0.05988333261247952,740.0,63337
,,,,,,,,,8,0,0,1,0,-1,0,5150.0,-2450.0,WECC_N_to_WECC_PNW,387.3433,0.03873432813537922,5150.0,40968
,,,,,,,,,9,0,0,1,0,0,-1,4150.0,-6350.0,WECC_N_to_WECC_WYCO,384.2886,0.038428857198982196,4150.0,40645
,,,,,,,,,10,0,0,0,1,0,-1,664.0,-614.0,WECC_NMAZ_to_WECC_WYCO,485.1773,0.04851773293945593,664.0,51316
