Line,New_Trans_Capacity,Cost_Trans_Capacity,iter,Policy,folder,case,weeks
1,-0.0003089725,-28.14616,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
2,99.99843,9226555.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
3,2696.8547,235440800.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
4,1399.9976,146467740.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
5,10113.063,850225500.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
6,-0.00030587887000000003,-41.904793,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
7,739.9999,46869372.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
8,5149.9995,210985180.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
9,4150.0,168676750.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
10,664.0003,34073840.0,1,p2_2045_high_mid_REF_high,MGA_0.05_16,max,january_test
1,-0.00022559337000000002,-20.550653,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
2,99.99798,9226514.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
3,1700.2479,148435040.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
4,1399.9926,146467220.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
5,-0.00022031990000000002,-18.522734,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
6,-0.00022370263,-30.646814000000003,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
7,739.99963,46869356.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
8,5149.9995,210985180.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
9,4149.9893,168676320.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
10,664.0002,34073836.0,2,p2_2045_high_mid_REF_high,MGA_0.05_14,max,january_test
1,3452.1279999999997,314475040.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
2,99.99575,9226308.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,3674.9854,320833570.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
4,1260.8134,131906290.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
5,-0.00018716694,-15.735498000000002,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
6,-0.00021553997000000002,-29.528545,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
7,739.9996,46869350.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
8,5150.0,210985200.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
9,4149.9995,168676720.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
10,664.0002,34073836.0,3,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
1,1896.3770000000002,172752350.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
2,99.99883,9226592.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
3,2186.6538,190899250.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,592.2243,61958508.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
5,3666.4717,308247600.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
6,-0.00039932724999999997,-54.707035,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
7,739.9998,46869370.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
8,5150.0,210985220.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
9,1690.5249,68711384.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
10,664.00037,34073844.0,4,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
1,922.18585,84007440.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
2,99.99991999999999,9226693.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
3,220.85721,19281276.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
4,1399.9989,146467890.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
5,10463.997,879729150.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
6,616.6482,84479570.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
7,739.99963,46869360.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
8,5150.0,210985200.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
9,4149.9966,168676620.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
10,663.9997599999999,34073812.0,5,p2_2045_high_mid_REF_high,MGA_0.05_9,max,january_test
1,1017.6585,92704620.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
2,99.99873000000001,9226583.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
3,279.50992,24401776.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
4,1399.994,146467380.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
5,0.004964405,417.36746,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
6,-0.00023426015,-32.093174,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
7,739.9998,46869370.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
8,5150.0,210985200.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
9,4149.9995,168676740.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
10,664.0002400000001,34073836.0,6,p2_2045_high_mid_REF_high,MGA_0.05_1,max,january_test
1,-0.00023921408999999998,-21.791447,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
2,99.98155,9224998.0,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
3,-0.00037225940000000003,-32.498993,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
4,-0.0003686261,-38.565661999999996,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
5,-0.00036394806000000004,-30.597841,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
6,2202.8062,301780030.0,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
7,739.9986,46869292.0,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
8,5150.0,210985200.0,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
9,2149.3928,87362060.0,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
10,663.99927,34073788.0,7,p2_2045_high_mid_REF_high,MGA_0.05_23,max,january_test
1,0.00058075675,52.904617,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
2,99.99896,9226604.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
3,-0.00018301203000000002,-15.977316,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
4,901.4741,94312220.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
5,10463.993,879728830.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
6,-0.0002821347,-38.651886,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
7,739.9994,46869340.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
8,5150.0,210985200.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
9,4149.998,168676660.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
10,663.99994,34073820.0,8,p2_2045_high_mid_REF_high,MGA_0.05_26,max,january_test
1,1594.7277,145273310.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
2,99.99987,9226688.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
3,866.0626,75609000.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
4,1399.999,146467900.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
5,10463.996,879729100.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
6,2133.5476,292291780.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
7,740.00006,46869384.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
8,5150.0,210985200.0,9,p2_2045_high_mid_REF_high,MGA_0.05_6,max,january_test
