"iter","Type","Policy","condition"
"15","ZCF","p7_2045_high_low_REF_high","Min Gen"
"18","Clean Firm","p2_2045_high_mid_REF_high","Max Gen"
"18","Clean Firm","p7_2045_high_low_REF_high","Max Gen"
"18","VRE","p2_2045_high_mid_REF_high","Min Gen"
"26","VRE","p2_2045_high_mid_REF_high","Max Gen"
"26","VRE","p7_2045_high_low_REF_high","Max Gen"
"35","VRE","p7_2045_high_low_REF_high","Min Gen"
"37","ZCF","p2_2045_high_mid_REF_high","Min Gen"
"37","ZCF","p7_2045_high_low_REF_high","Max Gen"
"39","Clean Firm","p2_2045_high_mid_REF_high","Min Gen"
"39","ZCF","p2_2045_high_mid_REF_high","Max Gen"
"47","Clean Firm","p7_2045_high_low_REF_high","Min Gen"
