"iter","Type","Policy","Region","condition"
"48","Clean Firm","p2_2045_high_mid_REF_high","CA_N","Max gen"
"25","Clean Firm","p2_2045_high_mid_REF_high","CA_S","Max gen"
"8","Clean Firm","p2_2045_high_mid_REF_high","WECC_N","Max gen"
"8","Clean Firm","p2_2045_high_mid_REF_high","WECC_NMAZ","Max gen"
"44","Clean Firm","p2_2045_high_mid_REF_high","WECC_PNW","Max gen"
"31","Clean Firm","p2_2045_high_mid_REF_high","WECC_WYCO","Max gen"
"13","Clean Firm","p7_2045_high_low_REF_high","CA_N","Max gen"
"25","Clean Firm","p7_2045_high_low_REF_high","CA_S","Max gen"
"28","Clean Firm","p7_2045_high_low_REF_high","WECC_N","Max gen"
"18","Clean Firm","p7_2045_high_low_REF_high","WECC_NMAZ","Max gen"
"51","Clean Firm","p7_2045_high_low_REF_high","WECC_PNW","Max gen"
"44","Clean Firm","p7_2045_high_low_REF_high","WECC_WYCO","Max gen"
"32","VRE","p2_2045_high_mid_REF_high","CA_N","Max gen"
"34","VRE","p2_2045_high_mid_REF_high","CA_S","Max gen"
"5","VRE","p2_2045_high_mid_REF_high","WECC_N","Max gen"
"46","VRE","p2_2045_high_mid_REF_high","WECC_NMAZ","Max gen"
"7","VRE","p2_2045_high_mid_REF_high","WECC_PNW","Max gen"
"2","VRE","p2_2045_high_mid_REF_high","WECC_WYCO","Max gen"
"50","VRE","p7_2045_high_low_REF_high","CA_N","Max gen"
"12","VRE","p7_2045_high_low_REF_high","CA_S","Max gen"
"1","VRE","p7_2045_high_low_REF_high","WECC_N","Max gen"
"31","VRE","p7_2045_high_low_REF_high","WECC_NMAZ","Max gen"
"7","VRE","p7_2045_high_low_REF_high","WECC_PNW","Max gen"
"2","VRE","p7_2045_high_low_REF_high","WECC_WYCO","Max gen"
"21","ZCF","p2_2045_high_mid_REF_high","CA_N","Max gen"
"39","ZCF","p2_2045_high_mid_REF_high","CA_S","Max gen"
"33","ZCF","p2_2045_high_mid_REF_high","WECC_N","Max gen"
"22","ZCF","p2_2045_high_mid_REF_high","WECC_NMAZ","Max gen"
"21","ZCF","p2_2045_high_mid_REF_high","WECC_PNW","Max gen"
"16","ZCF","p2_2045_high_mid_REF_high","WECC_WYCO","Max gen"
"43","ZCF","p7_2045_high_low_REF_high","CA_N","Max gen"
"51","ZCF","p7_2045_high_low_REF_high","CA_S","Max gen"
"46","ZCF","p7_2045_high_low_REF_high","WECC_N","Max gen"
"37","ZCF","p7_2045_high_low_REF_high","WECC_NMAZ","Max gen"
"36","ZCF","p7_2045_high_low_REF_high","WECC_PNW","Max gen"
"14","ZCF","p7_2045_high_low_REF_high","WECC_WYCO","Max gen"
"47","Clean Firm","p2_2045_high_mid_REF_high","CA_N","Min gen"
"10","Clean Firm","p2_2045_high_mid_REF_high","CA_S","Min gen"
"42","Clean Firm","p2_2045_high_mid_REF_high","WECC_N","Min gen"
"12","Clean Firm","p2_2045_high_mid_REF_high","WECC_NMAZ","Min gen"
"7","Clean Firm","p2_2045_high_mid_REF_high","WECC_PNW","Min gen"
"2","Clean Firm","p2_2045_high_mid_REF_high","WECC_WYCO","Min gen"
"54","Clean Firm","p7_2045_high_low_REF_high","CA_N","Min gen"
"37","Clean Firm","p7_2045_high_low_REF_high","CA_S","Min gen"
"48","Clean Firm","p7_2045_high_low_REF_high","WECC_N","Min gen"
"47","Clean Firm","p7_2045_high_low_REF_high","WECC_NMAZ","Min gen"
"43","Clean Firm","p7_2045_high_low_REF_high","WECC_PNW","Min gen"
"11","Clean Firm","p7_2045_high_low_REF_high","WECC_WYCO","Min gen"
"45","VRE","p2_2045_high_mid_REF_high","CA_N","Min gen"
"5","VRE","p2_2045_high_mid_REF_high","CA_S","Min gen"
"3","VRE","p2_2045_high_mid_REF_high","WECC_N","Min gen"
"18","VRE","p2_2045_high_mid_REF_high","WECC_NMAZ","Min gen"
"37","VRE","p2_2045_high_mid_REF_high","WECC_PNW","Min gen"
"23","VRE","p2_2045_high_mid_REF_high","WECC_WYCO","Min gen"
"52","VRE","p7_2045_high_low_REF_high","CA_N","Min gen"
"5","VRE","p7_2045_high_low_REF_high","CA_S","Min gen"
"3","VRE","p7_2045_high_low_REF_high","WECC_N","Min gen"
"30","VRE","p7_2045_high_low_REF_high","WECC_NMAZ","Min gen"
"13","VRE","p7_2045_high_low_REF_high","WECC_PNW","Min gen"
"23","VRE","p7_2045_high_low_REF_high","WECC_WYCO","Min gen"
"16","ZCF","p2_2045_high_mid_REF_high","CA_N","Min gen"
"15","ZCF","p2_2045_high_mid_REF_high","CA_S","Min gen"
"9","ZCF","p2_2045_high_mid_REF_high","WECC_N","Min gen"
"40","ZCF","p2_2045_high_mid_REF_high","WECC_NMAZ","Min gen"
"7","ZCF","p2_2045_high_mid_REF_high","WECC_PNW","Min gen"
"8","ZCF","p2_2045_high_mid_REF_high","WECC_WYCO","Min gen"
"2","ZCF","p7_2045_high_low_REF_high","CA_N","Min gen"
"15","ZCF","p7_2045_high_low_REF_high","CA_S","Min gen"
"17","ZCF","p7_2045_high_low_REF_high","WECC_N","Min gen"
"40","ZCF","p7_2045_high_low_REF_high","WECC_NMAZ","Min gen"
"43","ZCF","p7_2045_high_low_REF_high","WECC_PNW","Min gen"
"18","ZCF","p7_2045_high_low_REF_high","WECC_WYCO","Min gen"
