Region description,Network_zones,DistrZones,CO_2_Cap_Zone,CO_2_Max_Mtons,CO_2_Max_ton_MWh,CO_2_Import_ton_MWh,CO_2_Export_ton_MWh,Network_lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,Line_Max_Flow_MW,Line_Min_Flow_MW,Transmission Path Name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MW_yr
MIS_Central,z1,0,0,0,-1,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,MIS_Central_to_MIS_East,307.9,0.0308,100,21792
MIS_East,z2,0,0,0,-1,0,0,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3355,-5098,MIS_Central_to_PJM_COMD,196.8,0.0197,3355,16072
NY_East,z3,0,1,15.34,-1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,10617,-10523,MIS_Central_to_PJM_WEST,239.4,0.0239,10617,19551
NY_West,z4,0,1,0,-1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,500,-500,MIS_Central_to_SC_TVA,268.7,0.0269,500,19018
PJM_COMD,z5,0,0,0,-1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,4836,-4836,MIS_East_to_PJM_WEST,322.2,0.0322,4836,28067
PJM_Delaware,z6,0,1,1.76,-1,0,0,6,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,3599,-5400,NY_East_to_NY_West,126.3,0.0126,3599,32089
PJM_Dom,z7,0,1,19.6,-1,0,0,7,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,2235,-2235,NY_East_to_PJM_NJLand,137.8,0.0138,2235,35011
PJM_NJCoast,z8,0,1,5.4,-1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,2500,-2500,NY_West_to_PJM_WestMAC,157.9,0.0158,2500,30089
PJM_NJLand,z9,0,1,12.6,-1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,4000,-4000,PJM_COMD_to_PJM_WEST,395.9,0.0396,4000,38798
PJM_PECO,z10,0,0,0,-1,0,0,10,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,725,-725,PJM_Delaware_to_PJM_PECO,100.7,0.0101,725,25585
PJM_SMAC,z11,0,1,8.76,-1,0,0,11,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,300,-300,PJM_Delaware_to_PJM_SMAC,61.9,0.0062,300,15727
PJM_WEST,z12,0,0,0,-1,0,0,12,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,2800,-2800,PJM_Dom_to_PJM_SMAC,126.4,0.0126,2800,22251
PJM_WestMAC,z13,0,0,0,-1,0,0,13,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,11800,-11800,PJM_Dom_to_PJM_WEST,271.3,0.0271,11800,26587
SC_TVA,z14,0,0,0,-1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,2598,-2598,PJM_Dom_to_SC_VACA,218,0.0218,2598,17803
SC_VACA,z15,0,0,0,-1,0,0,15,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,680,-680,PJM_NJCoast_to_PJM_NJLand,63.7,0.0064,680,16184
,,,,,,,,16,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,3000,-3000,PJM_NJLand_to_PJM_PECO,53.4,0.0053,3000,13567
,,,,,,,,17,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,4000,-4000,PJM_NJLand_to_PJM_WestMAC,151.1,0.0151,4000,28793
,,,,,,,,18,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,2200,-2200,PJM_SMAC_to_PJM_WEST,284.8,0.0285,2200,50135
,,,,,,,,19,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,2500,-2500,PJM_SMAC_to_PJM_WestMAC,143.6,0.0144,2500,27364
,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,7177.783964,-7177.783964,PJM_WEST_to_PJM_WestMAC,274,0.0274,7178,30830
,,,,,,,,21,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,4504,-4504,PJM_WEST_to_SC_TVA,363.6,0.0364,4504,31673
,,,,,,,,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,2208,-2208,PJM_WEST_to_SC_VACA,327,0.0327,2208,26705
,,,,,,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,276,-276,SC_TVA_to_SC_VACA,379,0.0379,276,26825
